bill_number,title,primary_subject
H.RES.297,Expressing support for designation of April 2017 as "National Congenital Diaphragmatic Hernia Awareness Month".,Health
H.RES.293,"Recognizing the 42nd anniversary of the Fall of Saigon on April 30, 1975.",International Affairs
H.RES.296,"Expressing the sense of the House of Representatives that the Socialist Republic of Vietnam should provide former members of the Armed Forces of the Republic of Vietnam, who served alongside the United States Armed Forces in defense of their nation during the Vietnam War, with appropriate levels of support and services.",International Affairs
H.RES.295,"Expressing support for the designation of the week of April 30, 2017, through May 6, 2017, as ""National Small Business Week"" to honor the vital role of small business and the passion of entrepreneurs in the United States.",Commerce
H.RES.294,Recognizing and honoring the essential role of classified school education support employees through the Recognizing Inspirational School Employees Award.,Education
H.R.2249,"To authorize a State or a portion of a State to conduct a demonstration project designed to test methods of program integration and coordination of services with the goals of moving individuals and families towards self-sufficiency, reducing welfare dependence, and increasing work and earnings.",Social Welfare
H.R.2230,To direct the Joint Committee on the Library to obtain a statue or bust of Elie Wiesel for placement in the United States Capitol.,Congress
H.R.2251,"To amend the Department of Veterans Affairs Health Care Programs Enhancement Act of 2001 and title 38, United States Code, to require the provision of chiropractic care and services to veterans at all Department of Veterans Affairs medical centers and to expand access to such care and services.",Armed Forces and National Security
H.R.2241,To amend the Internal Revenue Code of 1986 to treat qualified alternative commuter programs as an excludable qualified transportation fringe benefit.,Taxation
H.R.2253,"To amend the Internal Revenue Code of 1986 to provide a business credit relating to the use of clean-fuel and fuel efficient vehicles by businesses within areas designated as nonattainment areas under the Clean Air Act, and for other purposes.",Taxation
H.R.2224,To amend title XVIII of the Social Security Act to apply budget neutrality on a State-specific basis in the calculation of the Medicare hospital wage index floor for non-rural areas.,Health
H.R.2250,To establish consistent requirements for the electronic content and format of data used in the administration of certain human services programs under the Social Security Act.,Social Welfare
H.R.2237,To provide for phased-in payment of Social Security Disability Insurance payments during the waiting period for individuals with a terminal illness.,Social Welfare
H.R.2223,"To amend title 49, United States Code, to provide for a rail spill preparedness fund, and for other purposes.",Transportation and Public Works
H.R.2247,"To amend title II of the Social Security Act to provide for equal treatment of individuals in same-sex marriages, and for other purposes.",Social Welfare
H.R.2255,"To clarify that nonprofit organizations may accept donated mortgage appraisals, and for other purposes.",Housing and Community Development
H.R.2236,"To amend the Food and Nutrition Act of 2008 to provide certain alternative eligibility requirements applicable to foster care youth, and homeless youth, who are enrolled at least half-time in an institution of higher education.",Agriculture and Food
